step,idx,k,k1
10,43,-106,75
10,44,-76,105
10,45,-75,113
10,46,-113,75
10,47,82,89
10,48,83,92
10,49,-83,121
10,50,-121,83
10,51,90,97
10,52,91,100
10,53,-122,91
10,54,-92,121
10,55,-91,129
10,56,-129,91
10,57,98,105
10,58,99,108
10,59,-130,99
10,60,-100,129
10,61,-99,137
10,62,-137,99
10,63,106,113
10,64,107,116
10,65,-138,107
10,66,-108,137
10,67,-107,145
10,68,-145,107
10,69,-146,115
10,70,-116,145
10,71,122,129
10,72,123,132
10,73,-154,123
10,74,-124,153
10,75,-123,161
10,76,-161,123
10,77,130,137
10,78,131,140
10,79,-162,131
10,80,-132,161
10,81,-131,169
10,82,-169,131
10,83,138,145
10,84,139,148
10,85,-170,139
10,86,-140,169
10,87,-139,177
10,88,-177,139
10,89,-178,147
10,90,-148,177
10,91,-147,185
10,92,-185,147
10,93,154,161
10,94,155,164
10,95,162,169
10,96,163,172
10,97,170,177
10,98,171,180
10,99,178,185
10,100,179,188
