step,contact,jj,block_i,block_j,mtype,q01,q02,b1,cs1,cs2,cs3,x1,y1,x2,y2,x3,y3,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,o3,o4,o5,m0_0,m0_1,m0_2,k5,fric_ang,cohesion
1,44,0,8,12,0,1,1,2,0,7.8750006515804216e-10,0.49999999960624997,3,3,4,3,2,3,0,-1,1,-0,-0.5,0.5,0,1,0,0,-0.49999999999999911,0,-1,0,0.5,1,0,-0.25,1,1.1102230246251565e-16,0.49999999999999922,1.5750001303160843e-09,-5.5511151231257728e-17,-0.2499999999999995,-1,0,-0.49999999999999911,-7.8750006515804216e-10,-0,0.24999999999999956,0,0,0.49999999980312493,2,0,2,0,30,0
1,45,0,8,13,0,1,1,2,0,7.8750028720264709e-10,0.49999999960624997,5,3,6,3,4,3,0,-1,-1,0,-0.5,-0.5,0,1,0,0,-0.49999999999999956,0,-1,0,0.5,-1,0,-0.25,1,1.1102230246251565e-16,0.49999999999999967,1.5750005744052942e-09,-5.5511151231257778e-17,-0.24999999999999972,-1,0,-0.49999999999999956,-7.8750006515804216e-10,-0,0.24999999999999978,0,0,0.50000000059062499,2,0,2,0,30,0
1,46,0,13,8,0,1,1,2,-0,7.8749984311343724e-10,0.49999999960624997,4,3,3,3,5,3,0,1,-1,0,-0.49999999999999956,-0.5,0,-1,0,0,-0.5,0,1,0,0.49999999999999956,-1,0,-0.24999999999999978,-1,1.1102230246251565e-16,0.49999999999999994,1.5749997972491769e-09,5.5511151231257827e-17,-0.25000000000000011,1,0,-0.5,-7.8750006515804216e-10,0,0.25,0,0,0.50000000059062499,2,0,2,0,30,0
1,47,0,9,10,0,1,1,1,0,0,0,7,2,7,2,7,3,-1,0,-0.49999999999999956,-1.0000000000000009,-0,0.24999999999999978,1,0,0.50000000000000044,-1.0000000000000018,0,-0.25000000000000022,0,1,1.0000000000000009,0,-0.49999999999999956,0.50000000000000044,0,-1,1.0000000000000018,0,0.50000000000000044,0.50000000000000089,0,1,-1.0000000000000018,0,-0.50000000000000044,-0.50000000000000089,0,0,0.49999999921249993,2,0,2,0,30,0
1,48,0,10,9,0,1,1,1,-0,0,0,7,3,7,3,7,2,1,0,-0.49999999999999956,-1.0000000000000018,0,0.24999999999999978,-1,0,0.50000000000000044,-1.0000000000000009,0,-0.25000000000000022,0,-1,1.0000000000000018,-0,-0.49999999999999956,0.50000000000000089,0,1,1.0000000000000009,0,0.50000000000000044,0.50000000000000044,0,-1,-1.0000000000000009,0,-0.50000000000000044,-0.50000000000000044,0,0,0.49999999921249993,2,0,2,0,30,0
1,49,0,13,9,0,1,1,2,-0,7.8750028720264709e-10,0.49999999960624997,6,3,5,3,7,3,0,1,1,0,-0.49999999999999956,0.5,0,-1,-8.8817841970012523e-16,0,-0.50000000000000044,-4.4408920985006262e-16,1,0,0.49999999999999956,1,0,-0.24999999999999978,-0.99999999999999989,1.1102230246251565e-16,0.50000000000000022,1.574999575204572e-09,5.5511151231257876e-17,-0.25000000000000022,1,0,-0.50000000000000044,-7.8749917697962246e-10,0,0.25000000000000022,0,0,0.49999999980312493,2,0,2,0,30,0
1,50,0,9,13,0,1,1,2,0,7.8750028720264709e-10,0.49999999960624997,5,3,6,3,4,3,0,-1,0.99999999999999911,-0,-0.50000000000000044,0.49999999999999956,0,1,0,0,-0.49999999999999956,0,-1,0,0.50000000000000044,0.99999999999999911,0,-0.25000000000000022,1,1.1102230246251565e-16,0.49999999999999967,1.5750005744052942e-09,-5.5511151231257778e-17,-0.24999999999999972,-1,0,-0.49999999999999956,-7.8750006515804216e-10,-0,0.24999999999999978,0,0,0.49999999980312493,2,0,2,0,30,0
1,51,0,9,14,0,1,1,2,0,7.8749984311343724e-10,0.49999999960624997,7,3,8,3,6,3,0,-1,-1.0000000000000009,0,-0.50000000000000044,-0.50000000000000044,0,1,0,0,-0.5,0,-1,0,0.50000000000000044,-1.0000000000000009,0,-0.25000000000000022,1.0000000000000002,1.1102230246251565e-16,0.50000000000000022,1.5749999082714794e-09,-5.5511151231257827e-17,-0.25,-1,0,-0.5,-7.8750006515804216e-10,-0,0.25,0,0,0.50000000059062499,2,0,2,0,30,0
1,52,0,14,9,0,1,1,2,-0,7.8750028720264709e-10,0.49999999960624997,6,3,5,3,7,3,0,1,-1,0,-0.5,-0.5,0,-1,-8.8817841970012523e-16,0,-0.50000000000000044,-4.4408920985006262e-16,1,0,0.5,-1,0,-0.25,-0.99999999999999989,1.1102230246251565e-16,0.50000000000000022,1.574999575204572e-09,5.5511151231257876e-17,-0.25000000000000022,1,0,-0.50000000000000044,-7.8749917697962246e-10,0,0.25000000000000022,0,0,0.50000000059062499,2,0,2,0,30,0
1,53,0,14,10,0,1,1,2,-0,7.8749984311343724e-10,0.49999999960624997,8,3,7,3,9,3,0,1,1,0,-0.5,0.5,0,-1,1.7763568394002505e-15,0,-0.49999999999999956,8.8817841970012523e-16,1,0,0.5,1,0,-0.25,-1,1.1102230246251565e-16,0.4999999999999995,1.5750015736060163e-09,5.5511151231257778e-17,-0.24999999999999986,1,0,-0.49999999999999956,-7.8750184151488156e-10,0,0.24999999999999978,0,0,0.49999999980312493,2,0,2,0,30,0
1,54,0,10,14,0,1,1,2,0,7.8749984311343724e-10,0.49999999960624997,7,3,8,3,6,3,0,-1,1.0000000000000018,-0,-0.49999999999999956,0.50000000000000089,0,1,0,0,-0.5,0,-1,0,0.49999999999999956,1.0000000000000018,0,-0.24999999999999978,1.0000000000000002,1.1102230246251565e-16,0.50000000000000022,1.5749999082714794e-09,-5.5511151231257827e-17,-0.25,-1,0,-0.5,-7.8750006515804216e-10,-0,0.25,0,0,0.49999999980312493,2,0,2,0,30,0
1,55,0,10,15,0,1,1,2,0,7.8749984311343724e-10,0.49999999960624997,9,3,10,3,8,3,0,-1,-0.99999999999999822,0,-0.49999999999999956,-0.49999999999999911,0,1,-1.7763568394002505e-15,0,-0.49999999999999911,-8.8817841970012523e-16,-1,0,0.49999999999999956,-0.99999999999999822,0,-0.24999999999999978,1,1.1102230246251565e-16,0.49999999999999922,1.5749979098700351e-09,-5.5511151231257728e-17,-0.2499999999999995,-1,0,-0.49999999999999911,-7.8749828880120276e-10,-0,0.24999999999999956,0,0,0.50000000059062499,2,0,2,0,30,0
1,56,0,15,10,0,1,1,2,-0,7.8749984311343724e-10,0.49999999960624997,8,3,7,3,9,3,0,1,-1.0000000000000018,0,-0.49999999999999911,-0.50000000000000089,0,-1,1.7763568394002505e-15,0,-0.49999999999999956,8.8817841970012523e-16,1,0,0.49999999999999911,-1.0000000000000018,0,-0.24999999999999956,-1,1.1102230246251565e-16,0.4999999999999995,1.5750015736060163e-09,5.5511151231257778e-17,-0.24999999999999986,1,0,-0.49999999999999956,-7.8750184151488156e-10,0,0.24999999999999978,0,0,0.50000000059062499,2,0,2,0,30,0
1,57,0,11,12,0,1,1,1,0,0,0,2,3,2,3,2,4,-1,0,-0.5,-1,-0,0.25,1,0,0.49999999999999911,-1,0,-0.24999999999999956,0,1,1,0,-0.5,0.5,0,-1,1,0,0.49999999999999911,0.5,0,1,-1,0,-0.49999999999999911,-0.5,0,0,0.49999999921249993,2,0,2,0,30,0
1,58,0,12,11,0,1,1,1,-0,0,0,2,4,2,4,2,3,1,0,-0.50000000000000089,-1,0,0.25000000000000044,-1,0,0.5,-1,0,-0.25,0,-1,1,-0,-0.50000000000000089,0.5,0,1,1,0,0.5,0.5,0,-1,-1,0,-0.5,-0.5,0,0,0.49999999921249993,2,0,2,0,30,0
1,59,0,11,16,0,1,1,2,0,7.8750017618034462e-10,0.49999999960624997,2,4,3,4,1,4,0,-1,-1,0,-0.5,-0.5,0,1,-4.4408920985006262e-16,0,-0.50000000000000089,-2.2204460492503131e-16,-1,0,0.5,-1,0,-0.25,1,0,0.50000000000000089,1.5749997972491769e-09,0,-0.25000000000000044,-1,0,-0.50000000000000089,-7.8749962106883231e-10,-0,0.25000000000000044,0,0,0.50000000059062499,2,0,2,0,30,0
1,60,0,16,11,0,1,1,2,-0,7.8750006515804216e-10,0.49999999960624997,1,4,0,4,2,4,0,1,-1.0000000000000004,0,-0.50000000000000089,-0.50000000000000022,0,-1,-5.5511151231257827e-17,0,-0.5,-2.7755575615628914e-17,1,0,0.50000000000000089,-1.0000000000000004,0,-0.25000000000000044,-1,0,0.5,1.5750000192937819e-09,0,-0.25,1,0,-0.5,-7.874999541357397e-10,0,0.25,0,0,0.50000000059062499,2,0,2,0,30,0
