step,m9,contact,m_i0,m0_0,m0_1,m0_2,o3,o4,tension_xlen,w0
2,1,94,0,2,2,2,-0.00038042294126167608,-0.00014393894389790597,0,3.1500000000000004
2,1,95,0,2,2,2,-5.7360029543753206e-05,-8.6353317766944961e-06,0,3.1500000000000004
2,1,96,0,0,0,0,0.0001447098308003566,8.6293477631614126e-06,0,3.1500000000000004
2,1,97,0,0,1,1,-6.6656712689587243e-06,4.7943045221396114e-06,0,3.1500000000000004
2,1,98,0,0,0,0,7.795478056898293e-06,-1.4319790567178258e-06,0,3.1500000000000004
2,1,99,0,0,1,1,-6.6668684063935489e-06,-4.7785384665415984e-06,0,3.1500000000000004
2,1,100,0,0,0,0,7.7904532500129493e-06,-4.8125450496395299e-05,0,3.1500000000000004
2,1,101,0,2,2,2,-5.7352742968969749e-05,8.6404858194568989e-06,0,3.1500000000000004
2,1,102,0,0,0,0,0.00014468986274903626,-8.7888109836192763e-05,0,3.1500000000000004
2,2,1,0,2,2,2,-0.043162323647028045,-0.0079775058584520275,0,3.1500000000000004
2,2,2,0,2,2,2,-0.043151206370593331,0.0075257505119001103,0,3.1500000000000004
2,2,3,0,0,0,0,0.0086579962320847172,-0.00020327849663703866,0,3.1500000000000004
2,2,4,0,2,2,2,-0.0054638697644131115,-0.0056685187466935403,0,3.1500000000000004
2,2,5,0,2,0,0,0.0028279711428088319,-0.00017305639599878489,0,3.1500000000000004
2,2,6,0,2,2,2,-0.011118835406510017,-0.0062417416735117345,0,3.1500000000000004
2,2,7,0,2,2,2,-0.00037743904885578696,-0.00022536917138140587,0,3.1500000000000004
2,2,8,0,2,2,2,-0.00057108076920924574,-0.0002210876288521924,0,3.1500000000000004
2,2,9,0,2,2,2,-0.0037760280573751197,-0.00073908710096314955,0,3.1500000000000004
2,2,10,0,2,2,2,-0.0028569441750041532,-0.00082391374022560814,0,3.1500000000000004
2,2,11,0,2,2,2,-0.0032497740753599388,-0.00048592454640571022,0,3.1500000000000004
2,2,12,0,2,2,2,-0.0033512874981832677,-0.00059016741323146451,0,3.1500000000000004
2,2,13,0,2,2,2,-0.00037783302440201524,0.00022375406682940475,0,3.1500000000000004
2,2,14,0,2,2,2,-0.00056884244909927964,0.00021986586615073395,0,3.1500000000000004
2,2,15,0,2,2,2,-0.0034581227955107455,0.00011065809974580899,0,3.1500000000000004
2,2,16,0,2,2,2,-0.0034709251046248692,8.480648921796036e-05,0,3.1500000000000004
2,2,17,0,2,2,2,-0.0034708960942463271,-8.5024481750683173e-05,0,3.1500000000000004
2,2,18,0,2,2,2,-0.0034581482212795093,-0.00011089769238189397,0,3.1500000000000004
2,2,19,0,0,0,0,0.0087127122235352034,-0.00022811799053607443,0,3.1500000000000004
2,2,20,0,2,2,2,-0.0054430337245527493,0.0057125806548386825,0,3.1500000000000004
2,2,21,0,2,2,2,-0.0033498756970810136,0.00058736855471414441,0,3.1500000000000004
2,2,22,0,2,2,2,-0.0032510635296923566,0.0004834961081594157,0,3.1500000000000004
2,2,23,0,2,2,2,-0.0028533109006801472,0.00082086458916352399,0,3.1500000000000004
2,2,24,0,2,2,2,-0.0037756442930374193,0.00073651079305731178,0,3.1500000000000004
2,2,25,0,2,2,2,-0.01112030893333533,0.0062435875885992389,0,3.1500000000000004
2,2,26,0,2,0,0,0.0028584908489942915,-6.9469781964392457e-05,0,3.1500000000000004
2,2,27,0,2,1,0,0.00014891643660339062,-0.00041155973894138197,0,3.1500000000000004
2,2,28,0,2,2,2,-0.00072248727200133851,-0.00047845324058850923,0,3.1500000000000004
2,2,29,0,2,2,2,-0.0024247137445328401,-0.00033075574633290098,0,3.1500000000000004
2,2,30,0,2,2,2,-0.0042578742082979553,-0.00034111008525033337,0,3.1500000000000004
2,2,31,0,2,2,2,-0.001708145436255761,-0.00067181801078355268,0,3.1500000000000004
2,2,32,0,2,2,2,-0.0027038351458647078,-0.00066955681388940463,0,3.1500000000000004
2,2,33,0,2,2,2,-0.00022159468302103099,2.4120601669123603e-08,0,3.1500000000000004
2,2,34,0,2,2,2,-0.00022206521704016096,4.5995042531065573e-08,0,3.1500000000000004
2,2,35,0,2,2,2,-0.0022142872468917329,3.591721693902845e-05,0,3.1500000000000004
2,2,36,0,2,2,2,-0.0021868727774979769,5.0556326419947375e-05,0,3.1500000000000004
2,2,37,0,2,2,2,-0.0022245692081721519,-0.000111110520208711,0,3.1500000000000004
2,2,38,0,2,2,2,-0.0022125737698687181,-0.00010141777914707063,0,3.1500000000000004
2,2,39,0,2,1,0,0.00014908105061770539,0.00041393025774578019,0,3.1500000000000004
2,2,40,0,2,2,2,-0.00072266318828246299,0.00047967694784129358,0,3.1500000000000004
2,2,41,0,2,2,2,-0.002212577006179856,0.00010122244731562265,0,3.1500000000000004
2,2,42,0,2,2,2,-0.0022245240458758247,0.00011093722423525363,0,3.1500000000000004
2,2,43,0,2,2,2,-0.0021870153632891371,-5.0808127889360383e-05,0,3.1500000000000004
2,2,44,0,2,2,2,-0.0022143493490049907,-3.6141143637339326e-05,0,3.1500000000000004
