step,m9,contact,m_i0,m0_0,m0_1,m0_2,o3,o4,tension_xlen,w0
2,2,42,0,0,0,0,2.6276546404635229e-05,0,0,3.1500000000000004
2,2,43,0,2,2,2,-0.0014058669602970452,0.0015666700307944796,716.12696583942477,3.1500000000000004
2,2,44,0,2,2,2,-0.0017756558776639432,0.0023185415774337262,716.12680634647586,3.1500000000000004
2,2,45,0,0,2,1,-0.00053882269973845012,0.00034483782126340599,0,3.1500000000000004
2,2,46,0,0,2,2,-0.0035080924103621973,0.00039261070233658022,0,3.1500000000000004
2,2,47,1,0,3,3,-0.0002320357363233762,0,0,3.1500000000000004
2,2,48,0,0,1,1,-0.00096727172955480905,0.00082326431000608307,0,3.1500000000000004
2,2,49,0,0,1,1,-0.0021346319828180029,0.00079756189323135012,0,3.1500000000000004
2,2,50,0,0,1,1,-0.00239524502239165,0.001310327641199088,0,3.1500000000000004
2,2,51,0,2,1,1,-6.1995886720316495e-05,0.0035985951110125269,0,3.1500000000000004
2,2,52,0,0,2,2,-0.0030522234154490512,0.00092102542144555891,0,3.1500000000000004
2,2,53,0,0,1,1,-6.1039570234721905e-05,1.0660998326474402e-05,0,3.1500000000000004
2,2,54,0,0,1,1,-0.0012477518208522942,0.00055558822739982736,0,3.1500000000000004
